semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2019,01:160:126:01,Chemistry Of Art,"Govindarajoo, Geeta",16,10,0,0,1,6,3,0,0,0,0,4,6,0,0,1,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,4.2,4.6,4.2,4.6,4.2,3.9,4.1,3.7,3.9,3.8
Fall,2019,01:160:127:01,Impact Of Chemistry,"Jimenez, Leslie",48,21,3,4,6,6,2,0,4,6,4,4,2,1,4,4,6.0,5.0,2.0,0.0,2.0,8.0,3.0,4.0,4.0,0.0,3.0,4.0,5.0,4.0,4.0,1.0,7.0,2.0,9.0,2.0,1.0,0.0,5.0,3.0,9.0,2.0,2.0,0.0,4.0,3.0,7.0,5.0,2.0,0.0,7.0,6.0,4.0,3.0,1.0,0.0,6.0,5.0,4.0,4.0,2.0,0.0,3.0,2.7,2.9,3.0,3.1,2.4,2.7,2.9,2.3,2.6
Fall,2019,01:160:128:01,Chemistry Of Life,"Boikess, Robert",72,29,7,5,9,4,4,0,11,7,4,3,4,0,7,4,4.0,9.0,5.0,0.0,8.0,7.0,5.0,5.0,4.0,0.0,7.0,5.0,7.0,6.0,4.0,0.0,13.0,6.0,4.0,5.0,1.0,0.0,9.0,5.0,6.0,6.0,3.0,0.0,4.0,2.0,6.0,14.0,3.0,0.0,16.0,3.0,5.0,3.0,2.0,0.0,15.0,4.0,5.0,4.0,1.0,0.0,2.8,2.4,3.0,2.7,2.8,2.1,2.6,3.3,2.0,2.0
Fall,2019,01:160:133:03,Prep For Gen Chem,"Rabeony, Manese",46,21,0,0,4,9,8,0,1,2,6,5,7,0,0,1,2.0,5.0,13.0,0.0,1.0,1.0,2.0,5.0,12.0,0.0,1.0,0.0,3.0,5.0,11.0,1.0,0.0,1.0,3.0,5.0,12.0,0.0,0.0,1.0,4.0,4.0,11.0,1.0,0.0,1.0,6.0,5.0,7.0,2.0,0.0,1.0,5.0,5.0,10.0,0.0,0.0,0.0,5.0,4.0,11.0,1.0,4.2,3.7,4.4,4.2,4.3,4.3,4.3,4.0,4.1,4.3
Fall,2019,01:160:134:01,Intro To Chemistry,"Rabeony, Manese",149,54,0,0,4,16,34,0,0,0,9,16,29,0,0,0,3.0,14.0,36.0,1.0,0.0,0.0,3.0,14.0,37.0,0.0,0.0,0.0,5.0,17.0,31.0,1.0,0.0,0.0,3.0,15.0,36.0,0.0,0.0,0.0,8.0,20.0,25.0,1.0,3.0,16.0,13.0,13.0,9.0,0.0,0.0,0.0,5.0,17.0,32.0,0.0,0.0,0.0,8.0,23.0,23.0,0.0,4.6,4.4,4.6,4.6,4.5,4.6,4.3,3.2,4.5,4.3
Fall,2019,01:160:159:01,Gen Chem For Engrs,"Roychowdhury, Lipika",433,182,3,8,21,89,55,6,5,9,37,84,39,8,7,22,48.0,65.0,32.0,8.0,3.0,10.0,38.0,80.0,43.0,8.0,2.0,5.0,46.0,58.0,35.0,36.0,7.0,14.0,56.0,71.0,28.0,6.0,12.0,16.0,60.0,60.0,29.0,5.0,22.0,36.0,46.0,45.0,27.0,6.0,14.0,12.0,41.0,78.0,29.0,8.0,28.0,23.0,50.0,52.0,23.0,6.0,4.1,3.8,3.5,3.9,3.8,3.6,3.4,3.1,3.6,3.1
Fall,2019,01:160:159:01,Gen Chem For Engrs,"Pramanik, Sanhita",116,49,1,5,10,20,10,3,0,11,11,15,9,3,2,5,17.0,15.0,6.0,4.0,2.0,9.0,11.0,16.0,7.0,4.0,1.0,3.0,13.0,20.0,7.0,5.0,3.0,8.0,14.0,14.0,6.0,4.0,3.0,6.0,16.0,15.0,7.0,2.0,7.0,9.0,11.0,16.0,4.0,2.0,6.0,7.0,11.0,15.0,5.0,5.0,7.0,10.0,12.0,14.0,4.0,2.0,3.7,3.5,3.4,3.4,3.7,3.3,3.4,3.0,3.1,3.0
Fall,2019,01:160:159:02,Gen Chem For Engrs,"Hove, Emmanuel",158,40,0,3,5,19,13,0,2,8,11,13,6,0,2,4,9.0,9.0,16.0,0.0,1.0,7.0,9.0,11.0,12.0,0.0,0.0,4.0,7.0,17.0,12.0,0.0,4.0,3.0,13.0,12.0,8.0,0.0,1.0,3.0,12.0,14.0,7.0,3.0,4.0,7.0,12.0,9.0,5.0,3.0,4.0,8.0,11.0,10.0,7.0,0.0,1.0,5.0,13.0,12.0,6.0,3.0,4.1,3.3,3.8,3.7,3.9,3.4,3.6,3.1,3.2,3.5
Fall,2019,01:160:159:06,Gen Chem For Engrs,"Khurana, Vandana",123,44,0,0,10,15,17,2,0,1,9,15,16,3,0,2,11.0,16.0,11.0,4.0,0.0,1.0,10.0,13.0,16.0,4.0,0.0,0.0,11.0,16.0,14.0,3.0,0.0,2.0,16.0,10.0,13.0,3.0,3.0,4.0,16.0,14.0,7.0,0.0,7.0,8.0,11.0,9.0,9.0,0.0,0.0,2.0,10.0,16.0,11.0,5.0,8.0,5.0,11.0,12.0,7.0,1.0,4.2,4.1,3.9,4.1,4.1,3.8,3.4,3.1,3.9,3.1
Fall,2019,01:160:159:07,Gen Chem For Engrs,"Abeywickrama, Chandima",36,23,6,3,7,4,2,1,6,5,4,3,3,2,6,4,5.0,4.0,3.0,1.0,5.0,2.0,6.0,7.0,2.0,1.0,3.0,2.0,7.0,8.0,2.0,1.0,7.0,3.0,5.0,7.0,0.0,1.0,2.0,2.0,10.0,7.0,1.0,1.0,1.0,6.0,10.0,2.0,2.0,2.0,8.0,5.0,4.0,4.0,1.0,1.0,4.0,1.0,9.0,8.0,0.0,1.0,2.7,2.6,2.7,3.0,3.2,2.6,3.1,2.9,2.3,3.0
