semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2019,01:198:110:01,Intro Computers&appl,"Trees, Frances",90,19,0,0,0,3,4,12,0,0,0,4,3,12,0,0,0,3,4,12,0.0,0.0,0.0,4.0,3.0,12.0,0.0,0.0,0.0,3.0,4.0,12.0,0.0,0.0,0.0,4.0,3.0,12.0,0.0,0.0,0.0,6.0,13.0,0.0,3.0,1.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,12.0,0.0,0.0,1.0,12.0,6.0,0.0,4.6,4.4,4.6,4.4,4.6,4.4,4.7,3.5,4.4,4.3
Fall,2019,01:198:110:01,Intro Computers&appl,"Belowich, Alan",90,63,0,2,5,23,33,0,2,1,6,24,29,1,1,2,8,22,29,1,2.0,0.0,9.0,21.0,31.0,0.0,1.0,3.0,7.0,18.0,34.0,0.0,2.0,2.0,8.0,20.0,30.0,1.0,2.0,0.0,10.0,22.0,29.0,0.0,5.0,6.0,20.0,15.0,17.0,0.0,2.0,2.0,6.0,23.0,29.0,1.0,4.0,2.0,7.0,30.0,20.0,0.0,4.4,4.2,4.2,4.3,4.3,4.2,4.2,3.5,4.2,4.0
Fall,2019,01:198:110:17,Intro Computers&appl,"Belowich, Alan",63,8,0,0,0,4,4,0,0,0,0,4,4,0,0,0,1,3,4,0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,4.5,4.5,4.4,4.8,4.6,4.7,4.4,4.4,4.3,4.6
Fall,2019,01:198:110:34,Intro Computers&appl,"Chirco, Jt",61,44,0,0,6,9,29,0,0,2,6,15,21,0,0,1,9,13,21,0,1.0,0.0,6.0,17.0,20.0,0.0,0.0,1.0,8.0,10.0,22.0,3.0,1.0,0.0,8.0,16.0,19.0,0.0,1.0,2.0,6.0,14.0,19.0,2.0,2.0,8.0,9.0,9.0,16.0,0.0,1.0,2.0,5.0,16.0,20.0,0.0,0.0,5.0,6.0,16.0,17.0,0.0,4.5,4.3,4.2,4.3,4.3,4.2,4.1,3.7,4.2,4.0
Fall,2019,01:198:110:34,Intro Computers&appl,"Trees, Frances",61,5,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,5.0,3.5,5.0,3.3,3.6,5.0,3.6
Fall,2019,01:198:111:01,Intro Computer Science,Centeno Ana Paula,229,103,2,1,10,45,45,0,2,6,11,33,51,0,3,2,15,39,44,0,3.0,1.0,7.0,38.0,53.0,1.0,4.0,12.0,17.0,34.0,34.0,2.0,4.0,2.0,17.0,34.0,46.0,0.0,4.0,7.0,16.0,42.0,33.0,1.0,6.0,5.0,9.0,49.0,30.0,4.0,5.0,6.0,10.0,42.0,40.0,0.0,7.0,8.0,21.0,40.0,26.0,1.0,4.3,4.2,4.2,4.3,3.8,4.1,3.9,3.9,4.0,3.7
Fall,2019,01:198:111:19,Intro Computer Sci,"Gunawardena, Ananda",226,120,1,3,21,57,36,2,0,0,24,50,43,3,1,2,15,54,45,3,0.0,0.0,13.0,49.0,56.0,2.0,0.0,1.0,20.0,49.0,34.0,16.0,2.0,3.0,19.0,54.0,39.0,3.0,1.0,9.0,21.0,51.0,35.0,3.0,0.0,4.0,18.0,44.0,49.0,5.0,2.0,5.0,25.0,49.0,36.0,3.0,3.0,7.0,29.0,53.0,24.0,4.0,4.1,4.2,4.2,4.4,4.1,4.1,3.9,4.2,4.0,3.8
Fall,2019,01:198:111:35,Intro Computer Sci,"Zhai, Juan",217,113,4,12,36,37,18,6,6,22,33,34,11,7,7,20,38,28,14,6,3.0,5.0,35.0,39.0,25.0,6.0,2.0,5.0,29.0,36.0,17.0,24.0,8.0,26.0,39.0,20.0,14.0,6.0,7.0,18.0,37.0,34.0,14.0,3.0,6.0,8.0,13.0,40.0,43.0,3.0,14.0,32.0,29.0,19.0,11.0,8.0,16.0,22.0,31.0,30.0,10.0,4.0,3.5,3.2,3.2,3.7,3.7,3.1,3.3,4.0,2.8,3.0
Fall,2019,01:198:111:50,Intro Computer Science,Centeno Ana Paula,191,107,1,0,9,20,17,60,1,2,8,20,18,58,0,0,13,18,16,60,0.0,1.0,9.0,20.0,18.0,59.0,2.0,2.0,11.0,16.0,19.0,57.0,2.0,3.0,12.0,15.0,17.0,58.0,4.0,8.0,20.0,53.0,19.0,3.0,1.0,4.0,18.0,36.0,45.0,3.0,1.0,2.0,13.0,14.0,19.0,58.0,11.0,10.0,24.0,44.0,14.0,4.0,4.1,4.1,4.1,4.2,4.0,3.9,3.7,4.2,4.0,3.4
Fall,2019,01:198:111:50,Intro Computer Sci,"Trees, Frances",191,107,1,4,24,38,34,6,2,4,19,40,36,6,2,9,27,32,31,6,1.0,3.0,20.0,38.0,40.0,5.0,2.0,5.0,30.0,24.0,29.0,17.0,4.0,9.0,23.0,36.0,29.0,6.0,4.0,8.0,20.0,53.0,19.0,3.0,1.0,4.0,18.0,36.0,45.0,3.0,6.0,9.0,26.0,29.0,30.0,7.0,11.0,10.0,24.0,44.0,14.0,4.0,4.0,4.0,3.8,4.1,3.8,3.8,3.7,4.2,3.7,3.4
