semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2019,14:125:201:01,Intro Biomedical Eng,"Olabisi, Ronke",67,37,1,0,4,12,19,1,2,0.0,6.0,15.0,13.0,1.0,1.0,1.0,4.0,12.0,18.0,1.0,1.0,1.0,3.0,14.0,17.0,1.0,1.0,1.0,2.0,17.0,15.0,1.0,1.0,2.0,4.0,13.0,16.0,1.0,0.0,0.0,1.0,19.0,16.0,1.0,0.0,0.0,3.0,11.0,22.0,1.0,1.0,2.0,4.0,14.0,15.0,1.0,1.0,0.0,2.0,22.0,11.0,1.0,4.3,4.0,4.3,4.3,4.2,4.1,4.4,4.5,4.1,4.2
Fall,2019,14:125:201:01,Intro Biomedical Eng,"Hacihaliloglu, Ilker",67,37,0,0,1,14,21,1,0,0.0,2.0,14.0,20.0,1.0,0.0,0.0,3.0,13.0,19.0,2.0,0.0,0.0,1.0,15.0,19.0,2.0,0.0,0.0,2.0,16.0,15.0,4.0,0.0,0.0,4.0,12.0,19.0,2.0,0.0,0.0,1.0,19.0,16.0,1.0,0.0,0.0,3.0,11.0,22.0,1.0,0.0,0.0,4.0,13.0,19.0,1.0,1.0,0.0,2.0,22.0,11.0,1.0,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.5,4.4,4.2
Fall,2019,14:125:255:01,System Physiology,"Shoane, George",56,27,0,2,3,18,4,0,0,3.0,5.0,12.0,6.0,1.0,2.0,8.0,6.0,8.0,2.0,1.0,0.0,0.0,6.0,16.0,5.0,0.0,0.0,1.0,6.0,16.0,4.0,0.0,1.0,10.0,11.0,3.0,2.0,0.0,0.0,2.0,6.0,16.0,3.0,0.0,0.0,0.0,9.0,10.0,8.0,0.0,6.0,4.0,12.0,5.0,0.0,0.0,2.0,7.0,8.0,8.0,1.0,1.0,3.9,3.8,3.0,4.0,3.9,2.8,3.7,4.0,2.6,3.0
Fall,2019,14:125:303:01,Biomed Transp Phenom,"Parekkadan, Biju",53,47,0,2,2,12,31,0,0,0.0,2.0,7.0,37.0,1.0,0.0,0.0,2.0,19.0,26.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,0.0,1.0,2.0,9.0,34.0,1.0,0.0,0.0,4.0,15.0,27.0,1.0,0.0,0.0,4.0,16.0,26.0,1.0,3.0,10.0,14.0,10.0,9.0,1.0,0.0,3.0,3.0,11.0,30.0,0.0,0.0,0.0,3.0,19.0,24.0,1.0,4.5,4.8,4.5,4.8,4.7,4.5,4.5,3.3,4.5,4.5
Fall,2019,14:125:304:01,Biomaterial,"Labazzo, Kristen",56,26,0,0,2,2,22,0,0,0.0,1.0,3.0,22.0,0.0,0.0,0.0,1.0,3.0,22.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0,0.0,1.0,3.0,22.0,0.0,0.0,1.0,2.0,2.0,21.0,0.0,0.0,1.0,2.0,4.0,19.0,0.0,0.0,1.0,3.0,7.0,15.0,0.0,0.0,0.0,2.0,3.0,21.0,0.0,0.0,0.0,2.0,3.0,21.0,0.0,4.8,4.8,4.8,4.9,4.8,4.7,4.6,4.4,4.7,4.7
Fall,2019,14:125:305:01,Numer Modl&biomd Sys,"Pierce, Mark",53,24,0,0,2,7,15,0,0,1.0,1.0,7.0,15.0,0.0,0.0,2.0,7.0,5.0,10.0,0.0,0.0,1.0,0.0,7.0,16.0,0.0,1.0,2.0,2.0,7.0,12.0,0.0,1.0,0.0,5.0,7.0,11.0,0.0,0.0,1.0,0.0,9.0,14.0,0.0,1.0,3.0,9.0,4.0,7.0,0.0,1.0,0.0,1.0,9.0,13.0,0.0,1.0,0.0,2.0,9.0,12.0,0.0,4.5,4.5,4.0,4.6,4.1,4.1,4.5,3.5,4.4,4.3
Fall,2019,14:125:306:01,Biomed Kinet & Therm,"Berthiaume, Francois",58,27,1,0,4,14,8,0,0,0.0,3.0,14.0,8.0,2.0,6.0,4.0,9.0,6.0,1.0,1.0,0.0,0.0,4.0,15.0,8.0,0.0,1.0,3.0,4.0,11.0,8.0,0.0,2.0,3.0,10.0,8.0,4.0,0.0,1.0,1.0,3.0,18.0,4.0,0.0,0.0,5.0,5.0,14.0,2.0,1.0,1.0,5.0,6.0,9.0,6.0,0.0,1.0,4.0,7.0,12.0,3.0,0.0,4.0,4.2,2.7,4.2,3.8,3.3,3.9,3.5,3.5,3.4
Fall,2019,14:125:308:01,Biomechanics,"Shreiber, David",65,27,0,0,4,18,5,0,1,2.0,6.0,10.0,8.0,0.0,1.0,0.0,7.0,10.0,9.0,0.0,1.0,3.0,7.0,7.0,9.0,0.0,0.0,1.0,4.0,15.0,7.0,0.0,1.0,1.0,7.0,13.0,5.0,0.0,0.0,2.0,2.0,14.0,9.0,0.0,0.0,5.0,4.0,12.0,5.0,1.0,1.0,2.0,5.0,14.0,5.0,0.0,1.0,2.0,5.0,13.0,6.0,0.0,4.0,3.8,4.0,3.7,4.0,3.7,4.1,3.7,3.7,3.8
Fall,2019,14:125:309:01,Bme Devices & System,"Drzewiecki, Gary",109,42,8,12,11,9,2,0,2,10.0,12.0,14.0,3.0,1.0,13.0,12.0,11.0,5.0,1.0,0.0,2.0,3.0,12.0,19.0,6.0,0.0,4.0,7.0,5.0,21.0,3.0,2.0,13.0,12.0,9.0,7.0,1.0,0.0,7.0,11.0,15.0,7.0,2.0,0.0,10.0,6.0,15.0,8.0,3.0,0.0,15.0,9.0,11.0,5.0,2.0,0.0,16.0,6.0,12.0,6.0,2.0,0.0,2.6,3.2,2.3,3.6,3.3,2.3,2.7,2.7,2.3,2.3
Fall,2019,14:125:310:02,Bme Device & Sys Lab,"Drzewiecki, Gary",29,11,2,1,4,3,0,1,0,2.0,4.0,3.0,2.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,2.8,3.5,2.7,3.8,3.2,2.7,2.6,2.9,2.4,2.5
