semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2019,01:640:001:14,Computational Skills,"Burns, Sandra",6,2,0,0,0,0,2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,5.0,4.5,3.5,4.5,5.0,4.5,5.0,4.5
Fall,2019,01:640:001:15,Computational Skills,"Burns, Sandra",3,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
Fall,2019,01:640:025:01,Elementary Algebra,"Patel, Saiju",21,9,0,0,1,4,4,0,0,1,1,5,2,0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,4.3,3.9,3.7,3.7,3.6,3.7,3.7,3.0,3.3,3.1
Fall,2019,01:640:025:02,Elementary Algebra,"Schwartz, Sharon",24,10,0,0,1,3,6,0,0,0,1,3,5,1,1.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,2.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,4.5,4.4,3.8,3.7,3.7,4.0,3.8,3.1,4.2,4.0
Fall,2019,01:640:025:03,Elementary Algebra,"Schwartz, Sharon",23,7,0,0,0,3,4,0,0,0,1,3,3,0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,4.6,4.3,4.0,4.1,4.1,4.0,4.0,4.0,4.6,4.3
Fall,2019,01:640:025:06,Elementary Algebra,"Perkowski, James",19,9,0,0,4,3,2,0,0,2,0,4,2,1,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,3.8,3.8,3.3,4.2,4.1,3.3,3.3,1.9,3.0,2.9
Fall,2019,01:640:025:07,Elementary Algebra,"Collins, Eliot",21,9,0,0,0,4,5,0,0,0,3,4,1,1,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,4.6,3.8,3.8,4.4,4.4,4.0,4.0,2.9,4.1,4.0
Fall,2019,01:640:025:10,Elementary Algebra,"Romano, Alfred",21,7,0,0,0,3,4,0,0,0,1,2,4,0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,4.6,4.4,3.9,3.9,4.1,3.4,3.7,2.9,3.6,3.3
Fall,2019,01:640:025:11,Elementary Algebra,"Collins, Eliot",19,5,0,1,0,1,3,0,1,0,0,2,2,0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,4.2,3.8,4.2,3.8,4.0,3.4,3.6,3.0,3.6,3.4
Fall,2019,01:640:025:14,Elementary Algebra,"Burns, Sandra",6,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0
Fall,2019,01:640:025:15,Elementary Algebra,"Burns, Sandra",3,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0
Fall,2019,01:640:026:01,Intermediate Algebra,"Mukherjee, Arun",26,8,0,0,0,1,6,1,0,0,0,1,6,1,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,4.9,4.9,4.4,4.9,4.9,4.7,4.3,3.6,4.9,4.6
