semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2019,01:750:109:01,Astronomy&cosmology,"Hughes, John",125,60,1,0,2,18,39,0,1,3,3,15,38,0,2.0,2.0,6.0,20.0,30.0,0.0,2.0,0.0,4.0,16.0,38.0,0.0,1.0,2.0,3.0,21.0,33.0,0.0,2.0,2.0,14.0,16.0,26.0,0.0,1.0,3.0,5.0,26.0,25.0,0.0,3.0,5.0,15.0,21.0,16.0,0.0,1.0,3.0,3.0,28.0,25.0,0.0,0.0,1.0,7.0,28.0,24.0,0.0,4.6,4.4,4.2,4.5,4.4,4.0,4.2,3.7,4.2,4.3
Fall,2019,01:750:109:02,Astronomy&cosmology,"Jerez, Andres",94,31,0,0,2,10,19,0,0,1,3,11,16,0,0.0,2.0,5.0,8.0,16.0,0.0,0.0,0.0,7.0,7.0,17.0,0.0,0.0,1.0,0.0,11.0,19.0,0.0,0.0,1.0,8.0,9.0,13.0,0.0,0.0,3.0,4.0,8.0,16.0,0.0,0.0,2.0,7.0,9.0,13.0,0.0,0.0,2.0,5.0,11.0,13.0,0.0,0.0,2.0,5.0,11.0,13.0,0.0,4.6,4.4,4.2,4.3,4.6,4.1,4.2,4.1,4.1,4.1
Fall,2019,01:750:110:01,Astronomy&cosmology,"Jha, Saurabh",108,72,0,0,2,7,63,0,0,0,2,10,59,1,4.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall,2019,01:750:115:R1,Extended Analytic I,"Cochran, Geraldine",143,130,0,2,5,47,75,1,0,2,7,35,84,2,0.0,2.0,17.0,47.0,62.0,2.0,0.0,1.0,7.0,40.0,81.0,1.0,2.0,3.0,11.0,49.0,64.0,1.0,1.0,2.0,16.0,43.0,66.0,2.0,1.0,5.0,26.0,53.0,45.0,0.0,6.0,10.0,33.0,42.0,38.0,1.0,1.0,9.0,9.0,44.0,66.0,1.0,0.0,6.0,16.0,59.0,48.0,1.0,4.5,4.6,4.3,4.6,4.3,4.3,4.1,3.7,4.3,4.2
Fall,2019,01:750:123:01,Analytical Physics I,"Lath, Amitabh",21,9,0,1,0,1,7,0,1,0,0,2,6,0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,4.6,4.3,4.3,4.2,4.6,4.6,4.2,4.0,4.3,3.9
Fall,2019,01:750:123:01,Analytical Physics I,"Friedan, Daniel",230,137,1,6,17,49,62,2,1,1,25,49,56,5,1.0,3.0,23.0,42.0,66.0,2.0,1.0,1.0,13.0,46.0,73.0,3.0,4.0,5.0,18.0,47.0,41.0,22.0,3.0,6.0,24.0,53.0,49.0,2.0,2.0,7.0,36.0,62.0,28.0,2.0,5.0,14.0,34.0,51.0,30.0,3.0,5.0,6.0,28.0,49.0,47.0,2.0,7.0,12.0,37.0,48.0,32.0,1.0,4.2,4.2,4.3,4.4,4.0,4.0,3.8,3.7,3.9,3.6
Fall,2019,01:750:123:08,Analytical Physics I,"Zamick, Larry",23,9,0,0,0,6,3,0,0,0,2,4,3,0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,4.3,4.1,3.9,4.1,4.3,4.3,4.3,4.0,4.0,4.4
Fall,2019,01:750:123:12,Analytical Physics I,"Friedan, Daniel",263,124,3,3,22,42,53,1,3,4,20,51,43,3,4.0,8.0,20.0,42.0,49.0,1.0,3.0,3.0,16.0,43.0,55.0,4.0,4.0,3.0,26.0,37.0,38.0,16.0,4.0,9.0,24.0,38.0,48.0,1.0,3.0,9.0,29.0,58.0,23.0,2.0,8.0,12.0,28.0,40.0,35.0,1.0,5.0,6.0,26.0,52.0,34.0,1.0,9.0,9.0,38.0,44.0,23.0,1.0,4.1,4.1,4.0,4.2,3.9,4.0,3.7,3.7,3.9,3.5
Fall,2019,01:750:123:21,Analytical Physics I,"Zamick, Larry",45,22,1,1,3,6,8,3,1,1,4,6,7,3,2.0,0.0,5.0,6.0,5.0,4.0,1.0,0.0,5.0,7.0,6.0,3.0,2.0,1.0,3.0,5.0,8.0,3.0,1.0,1.0,3.0,7.0,6.0,4.0,1.0,0.0,6.0,12.0,2.0,1.0,1.0,2.0,4.0,10.0,4.0,1.0,1.0,1.0,5.0,7.0,5.0,3.0,1.0,2.0,6.0,8.0,4.0,1.0,4.0,3.9,3.7,3.9,3.8,3.9,3.7,3.7,3.7,3.6
Fall,2019,01:750:123:26,Analytical Physics I,"Friedan, Daniel",236,127,2,6,19,42,55,3,3,4,26,41,51,2,6.0,4.0,21.0,32.0,62.0,2.0,2.0,1.0,23.0,40.0,59.0,2.0,4.0,2.0,26.0,37.0,39.0,19.0,4.0,10.0,27.0,37.0,48.0,1.0,3.0,12.0,35.0,44.0,31.0,2.0,2.0,10.0,33.0,47.0,33.0,2.0,6.0,5.0,28.0,39.0,46.0,3.0,9.0,9.0,27.0,51.0,30.0,1.0,4.2,4.1,4.1,4.2,4.0,3.9,3.7,3.8,3.9,3.7
