semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2014,01:160:101:01,General Chem Recitat,Guerra Francesca,1715,304,2,2,54,61,81,104,2,3,47,63,85,104,2,4,59,57,78,104,2,4,49,53,92,104,1,3,52,51,81,116,1,5,59,61,75,103,2,1,59,62,77,103,6,9,59,55,70,105,1,9,58,62,69,105,3,8,55,68,64,106,4.1,4.1,4,4.2,4.1,4,4.1,3.9,4,3.9
Fall,2014,01:160:101:01,General Chem Recitat,Langowski Bryan,1715,397,3,2,47,65,220,60,5,6,51,76,201,58,4,5,73,72,185,58,3,5,55,76,199,59,2,2,54,69,166,104,3,6,58,78,191,61,4,6,62,81,182,62,14,27,89,61,140,66,3,10,48,87,191,58,7,14,69,93,155,59,4.5,4.4,4.3,4.4,4.4,4.3,4.3,3.9,4.3,4.1
Fall,2014,01:160:101:01,General Chem Recitat,Govindarajoo Geeta,1715,310,2,6,37,58,110,97,4,8,43,52,107,96,4,5,42,70,92,97,4,5,46,57,102,96,4,3,41,47,102,113,2,6,51,58,98,95,2,7,56,51,97,97,7,14,56,45,90,98,2,8,44,65,93,98,3,11,51,64,84,97,4.3,4.2,4.1,4.2,4.2,4.1,4.1,3.9,4.1,4
Fall,2014,01:160:101:01,General Chem Recitat,Zhang Hongmei,1715,285,2,2,52,43,60,126,1,5,51,41,61,126,0,5,51,46,57,126,1,4,50,43,60,127,1,1,52,41,57,133,0,4,56,43,56,126,2,4,54,41,59,125,1,9,57,38,54,126,0,8,54,45,52,126,0,9,56,42,53,125,4,4,4,4,4,4,3.9,3.9,3.9,3.9
Fall,2014,01:160:101:01,General Chem Recitat,Siegel Donald,1715,348,10,5,53,78,132,70,23,9,66,70,115,65,13,6,67,88,109,65,19,17,68,62,117,65,7,1,49,64,122,105,18,10,65,79,109,67,13,5,67,76,120,67,13,19,60,74,118,64,15,12,61,92,97,71,10,9,77,85,100,67,4.1,3.9,4,3.9,4.2,3.9,4,3.9,3.9,3.9
Fall,2014,01:160:101:01,General Chem Recitat,Shankar Nirmala,1715,299,3,6,39,54,73,124,6,7,45,44,73,124,2,6,50,51,67,123,3,7,49,45,72,123,0,3,47,41,72,136,2,8,54,42,70,123,1,6,51,51,66,124,5,8,53,46,63,124,4,8,54,44,65,124,3,4,54,47,66,125,4.1,4,4,4,4.1,4,4,3.9,3.9,4
Fall,2014,01:160:101:01,General Chem Recitat,Sethi Kiranjot,1715,290,1,3,47,48,69,122,1,2,49,51,65,122,1,3,47,53,63,123,1,3,53,41,70,122,1,3,48,40,68,130,1,2,56,46,63,122,1,1,56,45,66,121,1,6,51,47,62,123,1,6,52,47,62,122,1,5,50,56,55,123,4.1,4.1,4,4.1,4.1,4,4,4,4,4
Fall,2014,01:160:101:01,General Chem Recitat,Porcja Robert,1715,346,1,4,44,58,152,87,0,5,40,66,148,87,0,6,51,63,139,87,0,4,44,66,144,88,0,4,44,53,132,113,0,4,44,67,142,89,0,6,57,59,135,89,8,19,53,66,111,89,2,4,46,56,149,89,4,6,58,76,115,87,4.4,4.4,4.3,4.4,4.3,4.4,4.3,4,4.4,4.1
Fall,2014,01:160:102:01,General Chem Recitat,Porcja Robert,388,60,1,0,7,9,17,26,1,0,7,9,18,25,1,0,11,6,18,24,1,0,8,9,17,25,1,0,10,5,15,29,1,0,10,9,16,24,2,0,9,7,17,25,6,1,11,5,12,25,1,2,7,7,18,25,1,1,12,5,17,24,4.2,4.2,4.1,4.2,4.1,4.1,4.1,3.5,4.1,4
Fall,2014,01:160:102:01,General Chem Recitat,Young Robert,388,94,1,0,1,5,83,4,1,0,1,7,81,4,1,0,5,6,78,4,1,0,0,10,79,4,1,0,5,7,65,16,1,0,4,10,75,4,3,2,10,10,65,4,9,6,17,7,50,5,1,0,3,9,77,4,3,2,10,10,65,4,4.9,4.9,4.8,4.8,4.7,4.8,4.5,3.9,4.8,4.5
