semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2014,01:198:105:01,Great Insight Cmp Si,Stone M,33,13,1,1,1,5,5,0,2,1,2,5,3,0,1,2,3,4,3,0,1,0,3,4,5,0,1,1,1,3,7,0,2,2,3,3,3,0,2,2,2,3,4,0,2,0,1,5,5,0,1,2,2,5,3,0,1,2,4,3,3,0,3.9,3.5,3.5,3.9,4.1,3.2,3.4,3.9,3.5,3.4
Fall,2014,01:198:107:01,Comput Math & Scienc (Lecture),Gerasoulis A,53,20,0,4,3,4,8,1,1,4,1,7,6,1,3,3,3,4,6,1,0,3,0,7,9,1,1,2,3,3,10,1,3,1,2,5,8,1,1,2,3,3,10,1,2,2,6,3,6,1,1,4,3,3,8,1,1,3,3,5,7,1,3.8,3.7,3.4,4.2,4,3.7,4,3.5,3.7,3.7
Fall,2014,01:198:110:01,Intro Computers&Appl (Lecture),Belowich A,155,117,3,1,9,31,72,1,4,4,12,27,68,2,6,1,15,36,58,1,4,3,8,37,64,1,6,1,12,30,65,3,6,4,18,38,50,1,4,7,21,45,39,1,11,8,26,34,36,2,2,2,19,37,55,2,5,4,24,42,41,1,4.5,4.3,4.2,4.3,4.3,4.1,3.9,3.7,4.2,4
Fall,2014,01:198:110:01,Intro Computers&Appl,Kataria P,24,17,0,1,4,2,10,0,1,1,4,3,8,0,1,1,4,5,6,0,2,0,3,3,9,0,2,0,3,3,9,0,2,0,4,4,7,0,1,1,4,3,8,0,1,1,7,3,5,0,1,1,5,4,6,0,2,1,5,4,5,0,4.2,3.9,3.8,4,4,3.8,3.9,3.6,3.8,3.5
Fall,2014,01:198:110:03,Intro Computers&Appl,Ekkati A,20,18,0,0,2,10,6,0,0,1,0,9,8,0,1,0,1,7,9,0,0,0,0,6,12,0,0,0,3,7,8,0,0,0,4,8,6,0,0,0,5,7,6,0,2,1,6,6,3,0,0,0,3,10,5,0,0,0,4,9,5,0,4.2,4.3,4.3,4.7,4.3,4.1,4.1,3.4,4.1,4.1
Fall,2014,01:198:110:05,Intro Computers&Appl,Ekkati A,21,15,0,1,2,4,8,0,0,1,1,3,10,0,1,2,2,5,5,0,0,0,1,4,10,0,1,0,3,2,9,0,0,2,2,7,4,0,0,2,2,4,6,1,2,1,4,2,4,2,1,0,2,8,4,0,1,0,4,4,5,1,4.3,4.5,3.7,4.6,4.2,3.9,4,3.4,3.9,3.9
Fall,2014,01:198:110:06,Intro Computers&Appl,Kataria A,23,17,0,0,1,9,7,0,0,0,2,7,8,0,1,0,2,7,7,0,0,0,1,7,9,0,0,0,1,7,9,0,1,0,2,5,9,0,0,1,2,6,8,0,1,2,3,4,7,0,0,0,3,6,8,0,0,1,2,6,8,0,4.4,4.4,4.1,4.5,4.5,4.2,4.2,3.8,4.3,4.2
Fall,2014,01:198:110:07,Intro Computers&Appl,Shin C,22,19,0,0,2,4,13,0,0,0,2,3,14,0,0,0,3,4,12,0,0,0,2,3,13,1,0,1,2,2,14,0,0,0,5,3,11,0,1,1,3,5,9,0,2,0,5,5,7,0,0,0,3,3,13,0,0,0,5,7,7,0,4.6,4.6,4.5,4.6,4.5,4.3,4.1,3.8,4.5,4.1
Fall,2014,01:198:110:08,Intro Computers&Appl,Pappireddy B,21,17,1,0,0,7,9,0,1,1,1,6,8,0,2,0,2,5,8,0,1,0,1,5,10,0,1,0,1,7,8,0,1,1,2,5,8,0,1,1,1,5,9,0,1,0,2,5,9,0,0,1,2,8,6,0,1,0,2,8,6,0,4.4,4.1,4,4.4,4.2,4.1,4.2,4.2,4.1,4.1
Fall,2014,01:198:110:09,Intro Computers&Appl,Shin C,24,15,0,0,1,4,10,0,0,0,0,3,12,0,0,1,1,2,11,0,0,0,0,5,10,0,0,0,1,3,11,0,0,0,0,5,10,0,0,0,0,7,8,0,1,1,2,3,8,0,0,0,2,3,10,0,0,0,3,3,8,1,4.6,4.8,4.5,4.7,4.7,4.7,4.5,4.1,4.5,4.4
