semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2014,14:125:201:01,Intro Biomedical Eng,Pierce,117,47,0,1,4,8,34,0,0,1,3,14,29,0,1,1,8,9,28,0,0,0,5,11,31,0,0,0,6,14,22,5,0,1,10,11,25,0,1,0,9,9,27,1,1,1,9,9,27,0,0,0,7,14,26,0,0,1,7,17,22,0,4.6,4.5,4.3,4.6,4.4,4.3,4.3,4.3,4.4,4.3
Fall,2014,14:125:201:01,Intro Biomedical Eng,Freeman,117,43,2,2,13,13,13,0,1,4,8,14,16,0,1,4,10,15,13,0,1,1,9,16,16,0,2,3,10,9,16,3,2,1,17,13,10,0,2,2,13,15,11,0,1,3,9,12,18,0,1,5,14,15,8,0,1,4,11,18,9,0,3.8,3.9,3.8,4.1,3.9,3.7,3.7,4,3.6,3.7
Fall,2014,14:125:201:01,Intro Biomedical Eng,Berthiaume,117,44,0,1,5,11,27,0,1,2,4,15,22,0,3,5,10,13,13,0,2,1,7,13,21,0,1,4,6,12,21,0,2,2,14,11,15,0,1,3,11,11,17,1,0,0,7,15,22,0,2,2,10,17,13,0,1,2,11,17,12,1,4.5,4.3,3.6,4.1,4.1,3.8,3.9,4.3,3.8,3.9
Fall,2014,14:125:208:01,Intro To Biomechanic,Olabisi,30,16,5,2,5,3,1,0,6,4,2,3,1,0,7,1,4,3,1,0,6,3,3,3,1,0,9,2,2,3,0,0,6,3,5,1,1,0,6,0,4,5,1,0,3,0,2,6,4,1,6,5,3,2,0,0,7,2,6,1,0,0,2.6,2.3,2.4,2.4,1.9,2.3,2.7,3.5,2.1,2.1
Fall,2014,14:125:303:01,Biomed Transp Phenom,Moghe,125,97,1,0,3,20,73,0,1,4,10,30,52,0,1,2,7,22,65,0,3,6,17,23,47,1,3,6,21,30,36,1,3,6,9,23,56,0,1,2,7,23,64,0,3,13,28,19,33,1,1,2,10,33,51,0,1,7,16,29,43,1,4.7,4.3,4.5,4.1,3.9,4.3,4.5,3.7,4.4,4.1
Fall,2014,14:125:305:01,Numer Modl&Biomd Sys,Pierce,120,72,2,0,2,27,41,0,2,3,9,22,36,0,3,10,17,25,17,0,2,1,4,18,47,0,3,8,13,20,27,1,3,5,18,24,22,0,2,6,13,22,29,0,7,12,26,9,18,0,2,4,12,26,28,0,2,3,20,26,21,0,4.5,4.2,3.6,4.5,3.9,3.8,4,3.3,4,3.9
Fall,2014,14:125:309:01,Bme Devices & System,Drzewiecki,117,58,3,14,13,18,9,1,3,4,13,23,14,1,5,15,18,11,8,1,1,2,5,23,26,1,0,1,9,24,22,2,5,12,18,13,9,1,5,10,19,17,5,2,5,15,15,10,11,2,5,10,22,14,6,1,4,12,20,15,6,1,3.3,3.7,3,4.3,4.2,3.2,3.1,3.1,3.1,3.1
Fall,2014,14:125:310:02,Bme Device & Sys Lab,Drzewiecki,26,16,1,0,3,4,8,0,0,0,3,3,10,0,1,2,3,3,7,0,0,1,0,7,8,0,0,1,3,4,8,0,1,1,4,5,5,0,3,1,2,7,3,0,4,2,4,3,3,0,1,1,3,3,8,0,0,4,3,5,4,0,4.1,4.4,3.8,4.4,4.2,3.8,3.4,2.9,4,3.6
Fall,2014,14:125:310:03,Bme Device & Sys Lab,Drzewiecki,22,10,0,2,1,4,3,0,0,1,2,4,3,0,0,1,3,6,0,0,0,0,1,8,1,0,0,0,3,3,4,0,0,0,5,4,1,0,0,0,7,3,0,0,1,4,1,2,2,0,1,2,2,4,1,0,0,2,3,4,1,0,3.8,3.9,3.5,4,4.1,3.6,3.3,3,3.2,3.4
Fall,2014,14:125:310:05,Bme Device & Sys Lab,Drzewiecki,35,19,2,3,2,4,8,0,2,1,3,6,7,0,3,3,2,6,5,0,1,1,0,7,9,1,0,0,4,6,7,2,3,4,3,5,3,1,4,3,3,7,1,1,3,3,5,5,2,1,2,3,6,6,1,1,1,4,7,5,1,1,3.7,3.8,3.4,4.2,4.2,3.1,2.9,3,3.1,3.1
