semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2014,01:640:023:01,Elem Algebra Part I,Reitmann J,7,5,0,0,1,0,4,0,0,0,2,0,3,0,0,1,1,0,3,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,2,3,0,1,0,0,1,3,0,2,1,1,0,1,0,0,0,1,1,3,0,1,1,1,0,2,0,4.6,4.2,4,4.8,4.8,4.6,4,2.4,4.4,3.2
Fall,2014,01:640:025:01,Elementary Algebra,Safran S,24,7,0,0,0,1,6,0,0,0,0,1,6,0,0,1,0,1,5,0,0,0,0,2,5,0,0,1,0,1,5,0,0,1,1,1,4,0,0,1,1,1,4,0,3,1,3,0,0,0,0,0,0,3,4,0,0,2,1,0,4,0,4.9,4.9,4.4,4.7,4.4,4.1,4.1,2,4.6,3.9
Fall,2014,01:640:025:02,Elementary Algebra,Lindboe T,24,13,0,0,0,4,9,0,0,0,0,0,13,0,0,0,0,2,11,0,0,0,0,0,13,0,0,0,1,1,11,0,0,0,0,3,10,0,0,0,3,1,9,0,1,3,3,0,6,0,0,0,0,5,8,0,0,0,0,5,8,0,4.7,5,4.9,5,4.8,4.8,4.5,3.5,4.6,4.6
Fall,2014,01:640:025:03,Elementary Algebra,O'Connor B,23,11,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,1,10,0,0,0,0,1,10,0,0,1,0,0,10,0,0,0,0,1,10,0,0,0,0,3,8,0,1,1,2,1,5,1,0,0,0,2,9,0,0,0,0,3,8,0,4.9,5,4.9,4.9,4.7,4.9,4.7,3.8,4.8,4.7
Fall,2014,01:640:025:04,Elementary Algebra,Schwartz S,23,11,0,0,0,3,8,0,0,1,3,2,5,0,1,2,0,3,5,0,1,2,0,3,5,0,0,0,2,3,6,0,0,5,1,1,4,0,0,3,3,2,3,0,3,3,3,1,1,0,0,3,3,1,4,0,0,4,2,1,4,0,4.7,4,3.8,3.8,4.4,3.4,3.5,2.5,3.6,3.5
Fall,2014,01:640:025:06,Elementary Algebra,Evans. J J,22,11,0,0,2,3,6,0,0,0,3,3,5,0,1,2,3,2,3,0,0,2,1,4,4,0,0,1,2,2,6,0,1,1,3,1,5,0,0,0,4,2,5,0,3,1,4,0,3,0,0,2,2,3,4,0,1,0,3,4,2,1,4.4,4.2,3.4,3.9,4.2,3.7,4.1,2.9,3.8,3.6
Fall,2014,01:640:025:07,Elementary Algebra,Safran S,24,13,1,0,1,2,9,0,0,1,0,1,11,0,0,1,2,2,8,0,0,0,1,2,10,0,0,0,1,3,9,0,0,0,1,4,8,0,0,0,4,4,5,0,3,2,4,3,1,0,0,1,0,3,9,0,0,1,1,5,6,0,4.4,4.7,4.3,4.7,4.6,4.5,4.1,2.8,4.5,4.2
Fall,2014,01:640:025:09,Elementary Algebra,Klein B,22,16,0,0,0,3,13,0,0,0,1,4,11,0,0,0,4,3,9,0,0,0,0,4,12,0,0,0,0,4,12,0,0,0,4,2,10,0,1,3,3,2,7,0,10,2,2,0,1,1,0,0,1,4,11,0,0,0,4,5,7,0,4.8,4.6,4.3,4.8,4.8,4.4,3.7,1.7,4.6,4.2
Fall,2014,01:640:025:10,Elementary Algebra,Fisher R,23,11,0,1,0,1,9,0,1,0,3,0,6,1,0,0,1,1,8,1,0,1,1,1,8,0,1,1,1,1,7,0,0,2,1,1,7,0,0,2,1,2,6,0,5,1,2,0,3,0,1,0,0,3,7,0,0,1,1,3,6,0,4.6,4,4.7,4.5,4.1,4.2,4.1,2.6,4.4,4.3
Fall,2014,01:640:025:11,Elementary Algebra,Patel D,9,4,0,0,1,1,1,1,0,0,2,0,1,1,0,0,1,1,1,1,0,0,0,1,2,1,0,0,1,0,2,1,0,0,2,1,0,1,0,0,2,1,0,1,1,0,1,0,0,2,0,0,2,1,0,1,1,1,1,1,0,0,4,3.7,4,4.7,4.3,3.3,3.3,2,3.3,2.5
Fall,2014,01:640:025:13,Elementary Algebra,Romano A,22,7,0,0,0,0,7,0,0,0,0,0,7,0,0,0,2,3,2,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,2,5,0,0,0,0,1,6,0,3,0,1,1,2,0,0,0,0,2,5,0,0,0,0,2,5,0,5,5,4,5,5,4.7,4.9,2.9,4.7,4.7
Fall,2014,01:640:025:14,Elementary Algebra,Reitmann J,20,7,0,0,1,2,4,0,0,0,4,0,3,0,0,0,1,4,2,0,0,0,3,1,3,0,0,0,2,1,4,0,0,0,3,1,3,0,0,1,1,2,3,0,1,1,2,1,2,0,0,2,0,3,2,0,0,2,1,2,2,0,4.4,3.9,4.1,4,4.3,4,4,3.3,3.7,3.6
Fall,2014,01:640:025:15,Elementary Algebra,Benedict K,21,8,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,2,6,0,1,0,2,2,3,0,0,0,0,1,7,0,0,0,0,3,5,0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,3.8,4.9,4.6
Fall,2014,01:640:025:16,Elementary Algebra,O'Connor B,23,12,0,0,0,0,12,0,0,0,0,0,12,0,0,0,1,1,10,0,0,0,0,1,11,0,0,0,1,1,10,0,0,0,0,2,10,0,0,0,1,3,8,0,5,0,3,2,2,0,0,0,2,0,10,0,0,0,1,1,10,0,5,5,4.8,4.9,4.8,4.8,4.6,2.7,4.7,4.8
Fall,2014,01:640:025:17,Elementary Algebra,Unger L,22,17,0,0,2,3,12,0,0,0,1,5,11,0,0,1,1,4,11,0,0,1,1,5,9,1,0,0,0,6,11,0,0,0,3,2,12,0,0,1,1,1,14,0,8,1,3,1,3,1,0,0,2,4,11,0,0,0,2,7,8,0,4.6,4.6,4.5,4.4,4.7,4.5,4.7,2.4,4.5,4.4
Fall,2014,01:640:025:18,Elementary Algebra,Sprague G,13,4,0,1,0,1,2,0,0,1,0,1,2,0,0,0,1,2,1,0,0,1,0,1,2,0,0,1,0,1,2,0,0,0,1,3,0,0,0,0,1,1,2,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,2,0,2,0,4,4,4,4,4,3.8,4.3,3,4,4
Fall,2014,01:640:025:19,Elementary Algebra,Klein B,24,17,0,0,0,3,14,0,0,0,0,2,15,0,0,1,5,1,10,0,0,0,2,2,13,0,0,0,1,4,12,0,0,0,2,3,12,0,0,2,4,2,9,0,4,4,6,0,3,0,0,0,0,6,11,0,1,0,2,2,12,0,4.8,4.9,4.2,4.7,4.7,4.6,4.1,2.7,4.7,4.4
Fall,2014,01:640:025:30,Elementary Algebra,Burns S,25,15,0,3,4,3,5,0,1,2,5,7,0,0,1,1,6,6,1,0,1,0,5,5,4,0,0,0,5,3,7,0,1,0,7,6,1,0,1,3,4,6,1,0,3,3,6,3,0,0,1,2,3,9,0,0,2,0,5,8,0,0,3.7,3.2,3.3,3.7,4.1,3.4,3.2,2.6,3.3,3.3
Fall,2014,01:640:025:31,Elementary Algebra,Papali G,23,12,1,1,2,3,5,0,1,7,1,1,2,0,1,2,3,2,4,0,3,2,2,1,4,0,0,3,1,4,4,0,1,1,4,3,3,0,1,1,4,1,5,0,5,2,1,1,3,0,1,2,3,4,2,0,1,3,2,3,3,0,3.8,2.7,3.5,3.1,3.8,3.5,3.7,2.6,3.3,3.3
